magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
6.5,19-01-2017 23:04,6,6,green,1,654,mww,36,-10.3506,161.335
7.3,10-01-2017 06:13,6,3,green,1,849,mww,627.17,4.4782,122.617
6.9,03-01-2017 21:52,6,4,green,1,742,mww,12,-19.3733,176.052
7.6,25-12-2016 14:22,9,8,yellow,1,1152,mww,38,-43.4064,-73.9413
6.7,21-12-2016 00:17,5,5,green,0,726,mww,152,-7.5082,127.921
7.9,17-12-2016 10:51,9,7,yellow,1,972,mww,94.54,-4.5049,153.522
6.9,09-12-2016 19:10,8,6,green,1,737,mww,19.73,-10.749,161.132
6.5,08-12-2016 21:56,0,5,green,0,650,mww,12.26,-10.8416,161.314
7.8,08-12-2016 17:38,9,8,green,1,961,mww,40,-10.6812,161.327
6.6,08-12-2016 14:49,5,4,green,1,1120,mww,8.45,40.4535,-126.194
6.5,06-12-2016 22:03,9,8,yellow,0,731,mww,13,5.2834,96.1678
6.6,25-11-2016 14:24,8,7,green,0,693,mww,17,39.2732,73.9776
6.9,24-11-2016 18:43,5,4,green,1,855,mww,10,11.9097,-88.8968
6.9,21-11-2016 20:59,9,6,green,1,1144,mww,9,37.3931,141.387
6.5,14-11-2016 00:34,7,7,yellow,1,664,mww,9,-42.6058,173.254
6.5,13-11-2016 11:32,6,7,yellow,1,656,mww,10,-42.3205,173.669
7.8,13-11-2016 11:02,9,9,orange,1,1545,mww,15.11,-42.7373,173.054
6.6,30-10-2016 06:40,9,8,red,0,2840,mww,8,42.8621,13.0961
6.6,19-10-2016 00:26,3,3,green,0,677,mww,614,-4.8626,108.163
6.8,17-10-2016 06:14,3,6,green,1,716,mww,42,-6.0033,148.887
6.9,24-09-2016 21:28,2,3,green,1,733,mww,596.4,-19.7819,-178.244
7,01-09-2016 16:37,5,6,green,1,897,mww,19,-37.3586,179.146
6.8,31-08-2016 03:11,4,3,green,1,713,mww,476,-3.6849,152.792
6.8,24-08-2016 10:34,6,6,yellow,0,981,mww,82,20.9228,94.569
7.2,12-08-2016 01:26,6,5,green,1,799,mww,16.37,-22.4765,173.117
7.7,29-07-2016 21:18,5,6,green,1,971,mww,196,18.5429,145.507
6.6,01-06-2016 22:56,4,6,green,0,671,mww,50,-2.0967,100.665
7.2,28-05-2016 09:46,1,6,green,1,798,mww,78,-56.2409,-26.9353
6.9,28-05-2016 05:38,3,3,green,1,733,mww,405.69,-21.9724,-178.204
6.9,18-05-2016 16:46,8,7,green,1,780,mww,29.95,0.4947,-79.616
6.7,18-05-2016 07:57,5,7,green,1,744,mww,16,0.4261,-79.7899
7,28-04-2016 19:33,7,7,green,1,755,mww,24,-16.0429,167.379
7.8,16-04-2016 23:58,9,9,orange,1,1163,mww,20.59,0.3819,-79.9218
7,15-04-2016 16:25,9,9,red,1,2074,mww,10,32.7906,130.754
6.9,13-04-2016 13:55,6,6,yellow,0,903,mww,136,23.0944,94.8654
6.6,10-04-2016 10:28,6,4,green,0,738,mww,212,36.4725,71.1311
6.7,07-04-2016 03:32,7,5,green,1,692,mww,27.59,-13.9805,166.594
6.7,06-04-2016 06:58,7,6,green,1,691,mww,24,-14.0683,166.624
6.9,03-04-2016 08:23,7,6,green,1,734,mww,26,-14.3235,166.855
7.8,02-03-2016 12:49,4,3,green,0,948,mww,24,-4.9521,94.3299
7.2,30-01-2016 03:25,3,7,green,1,799,mww,177,53.9776,158.546
7.1,24-01-2016 10:30,7,7,green,1,1496,mw,125.6,59.6204,-153.339
6.6,21-01-2016 18:06,3,4,green,1,673,mww,10,18.8239,-106.934
6.7,14-01-2016 03:25,5,6,green,1,717,mww,46,41.9723,142.781
6.5,11-01-2016 16:38,3,6,green,1,651,mww,13,3.8965,126.862
6.7,03-01-2016 23:05,8,7,orange,0,1515,mww,55,24.8036,93.6505
6.6,17-12-2015 19:49,8,6,green,1,765,mww,85,15.8015,-93.633
6.9,09-12-2015 10:21,8,5,green,0,738,mww,21,-4.1064,129.508
7.2,07-12-2015 07:50,4,7,green,0,827,mww,22,38.2107,72.7797
6.7,26-11-2015 05:45,2,3,green,0,691,mww,602.75,-9.1825,-71.2574
7.6,24-11-2015 22:50,5,4,green,0,896,mww,620.56,-10.0598,-71.0184
7.6,24-11-2015 22:45,6,5,green,1,957,mww,606.21,-10.5372,-70.9437
